customer_id,gender,marital_status,income,age,customer_since_months,customer_rel_dur_segment,city_grp,occupation_adm-clerical,occupation_armed-forces,occupation_craft-repair,occupation_exec-managerial,occupation_farming-fishing,occupation_handlers-cleaners,occupation_machine-op-inspct,occupation_other-service,occupation_priv-house-serv,occupation_prof-specialty,occupation_protective-serv,occupation_sales,occupation_tech-support,occupation_transport-moving,policy_deductable,policy_annual_premium,umbrella_limit,incident_severity,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,months_ago_incident_date,years_auto_old,bodily_injury_single_limit,bodily_injury_total_limit,net_captial,incident_hour_of_the_day_evening,incident_hour_of_the_day_morning,incident_hour_of_the_day_night,property_damage_no,property_damage_yes,police_report_available_no,police_report_available_yes,collision_type_front collision,collision_type_rear collision,collision_type_side collision,authorities_contacted_ambulance,authorities_contacted_fire,authorities_contacted_none,authorities_contacted_other,authorities_contacted_police,motor_addon
sb3001244,0,0,46951,37,18.0,1,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,773.99,0,0.2,1,1,2,3200,640,320,2240,24000,64.0,6,250,500,-70300,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,vehicle theft
sb3001245,1,1,65534,48,58.0,0,t0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000,1532.47,0,0.2,1,0,2,75400,7540,15080,52780,32000,64.0,8,500,1000,35600,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,single vehicle collision
sb3001246,0,1,77521,43,24.0,1,t1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,1340.56,0,0.2,1,0,2,58140,6460,6460,45220,48000,64.0,12,250,500,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,single vehicle collision
sb3001247,0,0,48649,36,37.0,0,t2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1297.75,4000000,0.2,3,0,1,98670,15180,15180,68310,40000,63.0,10,100,300,-41400,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,multi-vehicle collision
sb3001248,1,1,44336,32,82.0,0,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,433.33,0,0.2,1,0,2,5900,1180,590,4130,44000,64.0,11,250,500,25900,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,parked car
sb3001249,1,1,65241,49,52.0,0,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1025.54,0,0.2,1,1,2,64100,6410,6410,51280,76000,63.0,19,250,500,-52600,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,single vehicle collision
sb3001250,0,0,30625,32,41.0,0,t1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,500,1264.77,0,0.2,2,0,1,55440,5040,10080,40320,44000,63.0,11,250,500,15000,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001251,0,1,32406,40,103.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,1459.97,5000000,0.2,3,1,2,80850,7350,14700,58800,36000,63.0,9,250,500,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001252,1,1,35043,48,32.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,500,1238.65,0,0.2,1,1,1,7480,680,680,6120,88000,64.0,22,100,300,-44600,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,vehicle theft
sb3001253,1,0,41971,49,80.0,0,t2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1050.76,0,0.2,1,2,2,53640,5960,5960,41720,64000,64.0,16,250,500,-28700,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,single vehicle collision
sb3001254,0,0,65354,35,74.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,1711.72,0,0.2,3,2,2,63250,5750,11500,46000,72000,64.0,18,500,1000,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001255,1,1,47855,41,81.0,0,t2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,865.33,7000000,0.2,3,0,1,59040,9840,9840,39360,100000,64.0,25,100,300,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,multi-vehicle collision
sb3001256,1,0,68142,41,50.0,0,t0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500,1153.49,0,0.2,3,1,0,50500,10100,5050,35350,64000,63.0,16,250,500,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001257,0,0,33213,48,76.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,1281.25,0,0.2,1,0,1,57690,6410,12820,38460,40000,64.0,10,500,1000,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,single vehicle collision
sb3001258,0,1,40726,45,30.0,0,t2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,1342.8,0,0.2,1,1,2,5940,660,660,4620,24000,63.0,6,100,300,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,vehicle theft
sb3001259,0,1,36366,34,68.0,0,t1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,1443.32,0,0.2,3,0,2,47790,5310,5310,37170,100000,64.0,25,250,500,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001260,0,1,40066,37,34.0,0,t1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,1629.94,0,0.2,1,0,1,3850,350,350,3150,24000,63.0,6,250,500,-47100,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,parked car
sb3001261,0,1,44347,34,84.0,0,unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1134.08,0,0.2,1,2,0,59000,5900,5900,47200,28000,63.0,7,100,300,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,single vehicle collision
sb3001262,1,1,75711,36,70.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,1483.91,8000000,0.2,3,0,1,70600,7060,14120,49420,28000,64.0,7,250,500,-33600,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,multi-vehicle collision
sb3001263,0,0,69307,38,85.0,0,t2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1304.67,7000000,0.2,3,1,1,61490,5590,11180,44720,76000,64.0,19,500,1000,-45000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001264,0,0,47619,32,77.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,1035.79,0,0.2,1,1,0,57640,5240,10480,41920,40000,64.0,10,500,1000,-7100,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,single vehicle collision
sb3001265,0,1,79320,33,59.0,0,t2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500,1401.2,0,0.2,1,1,0,6890,1060,1060,4770,84000,64.0,21,250,500,51500,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,vehicle theft
sb3001266,1,1,39639,46,51.0,0,t0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,1665.45,0,0.2,3,2,2,53280,11840,5920,35520,56000,64.0,14,250,500,1300,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,multi-vehicle collision
sb3001267,1,1,73460,36,45.0,0,t2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,653.66,0,0.2,3,0,0,78300,15660,7830,54810,44000,63.0,11,500,1000,5200,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001268,1,0,70931,36,106.0,0,unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500,1080.13,0,0.2,3,0,2,41490,4610,4610,32270,76000,64.0,19,100,300,-61000,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,multi-vehicle collision
sb3001269,0,1,41003,33,87.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,1346.18,0,0.2,3,2,2,68970,12540,6270,50160,52000,63.0,13,100,300,4500,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001270,1,0,67179,30,77.0,0,t0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1589.54,0,0.2,3,2,0,85300,17060,8530,59710,68000,64.0,17,250,500,55400,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001271,0,1,73544,42,18.0,1,t1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1251.65,0,0.2,1,0,0,3080,560,280,2240,32000,63.0,8,100,300,71200,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,parked car
sb3001272,1,0,81633,35,110.0,0,unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,1083.01,0,0.2,4,2,0,71760,11040,11040,49680,40000,64.0,10,100,300,91900,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,multi-vehicle collision
sb3001273,1,1,70401,42,70.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,974.59,0,0.2,3,1,0,59700,11940,11940,35820,72000,64.0,18,100,300,62800,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,multi-vehicle collision
sb3001274,1,1,31747,47,38.0,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1399.85,0,0.2,3,0,2,64920,10820,10820,43280,92000,64.0,23,500,1000,30100,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001275,1,0,81175,43,64.0,0,t1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500,1307.74,0,0.2,3,0,1,37530,4170,4170,29190,48000,64.0,12,500,1000,-75700,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,multi-vehicle collision
sb3001276,1,0,66247,39,93.0,0,t1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,1219.27,0,0.2,3,1,2,64080,7120,7120,49840,32000,63.0,8,250,500,-10300,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,multi-vehicle collision
sb3001277,0,1,33355,34,73.0,0,t0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500,1411.3,0,0.2,1,1,0,60390,10980,5490,43920,64000,63.0,16,100,300,55600,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,single vehicle collision
sb3001278,1,0,64227,35,52.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,694.45,0,0.2,3,0,1,64350,5850,11700,46800,36000,64.0,9,100,300,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001279,1,0,82889,32,93.0,0,t1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,1006.77,6000000,0.2,3,2,1,70900,14180,7090,49630,92000,63.0,23,100,300,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001280,0,0,56484,43,68.0,0,t1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000,1422.36,0,0.2,3,1,2,46560,7760,7760,31040,32000,64.0,8,250,500,-83900,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,multi-vehicle collision
sb3001281,1,0,84701,49,98.0,0,unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,1348.32,0,0.2,1,2,1,4730,860,860,3010,28000,64.0,7,100,300,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,vehicle theft
sb3001282,1,1,79564,33,95.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,1315.56,0,0.2,1,0,0,6820,1240,1240,4340,68000,63.0,17,250,500,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,vehicle theft
sb3001283,0,0,64649,34,36.0,0,t0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,1407.01,5000000,0.2,1,0,2,59900,11980,5990,41930,92000,64.0,23,250,500,19800,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,single vehicle collision
sb3001284,0,1,62687,41,103.0,0,t1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1388.58,0,0.2,3,1,2,79560,13260,13260,53040,44000,63.0,11,250,500,-49400,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001285,1,1,70050,49,50.0,0,t2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,1310.76,0,0.2,1,0,1,70290,12780,6390,51120,48000,63.0,12,500,1000,-40900,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,single vehicle collision
sb3001286,1,1,73063,40,93.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1004.63,6000000,0.2,3,2,0,63910,5810,11620,46480,84000,64.0,21,100,300,26900,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,multi-vehicle collision
sb3001287,1,1,82252,36,62.0,0,unknown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,500,1134.91,0,0.2,1,1,0,6400,640,640,5120,92000,64.0,23,100,300,68700,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,vehicle theft
sb3001288,0,0,45447,33,81.0,0,unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,1194.0,0,0.2,1,1,2,66780,7420,7420,51940,28000,63.0,7,250,500,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,single vehicle collision
sb3001289,0,0,35035,38,90.0,0,unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1248.25,4000000,0.2,1,0,2,8760,1460,1460,5840,28000,63.0,7,500,1000,-33300,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,parked car
sb3001290,1,1,74005,39,34.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,1338.54,-1000000,0.2,1,0,1,94160,8560,17120,68480,96000,64.0,24,100,300,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,single vehicle collision
sb3001291,1,1,78902,46,81.0,0,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,782.23,0,0.2,3,0,2,51570,5730,11460,34380,40000,63.0,10,250,500,31900,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,multi-vehicle collision
sb3001292,0,1,53014,34,18.0,1,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,1366.9,0,0.2,3,1,0,52700,10540,10540,31620,24000,64.0,6,250,500,-15700,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001293,1,1,54606,45,42.0,0,t0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000,1275.81,0,0.2,1,2,2,101010,15540,15540,69930,88000,64.0,22,500,1000,-48300,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,single vehicle collision
sb3001294,1,1,62832,44,66.0,0,t2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,1090.65,0,0.2,4,1,2,53400,5340,5340,42720,40000,64.0,10,250,500,-51800,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001295,1,0,62210,46,31.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,1326.0,0,0.2,1,1,2,72120,12020,12020,48080,44000,63.0,11,250,500,-54600,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,single vehicle collision
sb3001296,1,1,35431,50,98.0,0,unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,972.47,0,0.2,3,2,2,77100,7710,15420,53970,40000,63.0,10,250,500,-58100,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,multi-vehicle collision
sb3001297,1,0,39831,30,77.0,0,t1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,500,806.31,0,0.2,1,2,2,3300,600,0,2700,68000,63.0,17,100,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,parked car
sb3001298,0,1,40701,42,36.0,0,t2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500,1416.24,0,0.2,1,1,0,5940,1080,540,4320,68000,63.0,17,500,1000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,parked car
sb3001299,0,0,81510,40,94.0,0,t2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1097.64,0,0.2,2,1,0,63720,7080,21240,35400,56000,63.0,14,250,500,27100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001300,1,1,53100,46,63.0,0,t2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,500,947.75,0,0.2,1,1,2,7680,1280,640,5760,48000,63.0,12,100,300,-39300,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,vehicle theft
sb3001301,1,0,69924,46,93.0,0,t1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,1018.73,5000000,0.2,3,1,2,93730,14420,21630,57680,76000,64.0,19,100,300,-62700,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001302,1,1,84542,31,75.0,0,t0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,1400.74,0,0.2,3,0,2,87300,17460,17460,52380,28000,64.0,7,100,300,-21600,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001303,1,1,64097,43,59.0,0,t2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1155.53,5000000,0.2,1,0,2,5670,1260,630,3780,92000,64.0,23,250,500,-35200,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,parked car
sb3001304,1,1,54419,39,112.0,0,t1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,1386.93,0,0.2,3,0,0,65800,13160,6580,46060,76000,64.0,19,250,500,-23500,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001305,0,0,31146,41,104.0,0,t2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500,915.29,0,0.2,1,2,1,36720,4080,4080,28560,44000,63.0,11,100,300,25300,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,single vehicle collision
sb3001306,0,1,32059,49,49.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,1239.55,2000000,0.2,1,1,1,52800,4800,9600,38400,96000,64.0,24,250,500,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,single vehicle collision
sb3001307,1,0,61429,36,69.0,0,t0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500,1366.42,0,0.2,3,1,2,59100,5910,5910,47280,88000,63.0,22,250,500,44000,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,multi-vehicle collision
sb3001308,0,0,83403,47,60.0,0,t0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000,1086.48,6000000,0.2,3,1,1,77440,14080,7040,56320,84000,64.0,21,500,1000,-53800,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001309,0,0,43720,32,91.0,0,t1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,1247.87,0,0.2,3,2,2,45700,4570,4570,36560,48000,64.0,12,250,500,-39700,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,multi-vehicle collision
sb3001310,0,0,53316,36,31.0,0,t0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,1312.75,0,0.2,3,2,2,80740,7340,14680,58720,24000,64.0,6,100,300,81300,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001311,1,0,47685,36,82.0,0,t1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,765.64,0,0.2,3,0,2,31350,2850,5700,22800,76000,63.0,19,100,300,-22200,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,multi-vehicle collision
sb3001312,0,1,45655,49,52.0,0,t0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1327.41,0,0.2,1,0,0,35000,3500,7000,24500,32000,64.0,8,100,300,-38600,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,single vehicle collision
sb3001313,1,1,48216,35,81.0,0,unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000,1338.55,0,0.2,3,2,2,68000,13600,6800,47600,24000,64.0,6,500,1000,39000,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001314,0,1,62294,42,34.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,1316.63,8000000,0.2,3,2,0,84500,13000,13000,58500,44000,64.0,11,250,500,43900,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001315,0,0,54608,47,52.0,0,t1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,1286.44,0,0.2,1,2,1,75500,7550,15100,52850,88000,64.0,22,500,1000,-39500,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,single vehicle collision
sb3001316,1,0,67782,34,121.0,0,t0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1000,1372.18,0,0.2,3,1,2,90600,15100,15100,60400,44000,64.0,11,500,1000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001317,1,1,73676,39,85.0,0,unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1447.77,0,0.2,3,1,1,64320,5360,10720,48240,88000,64.0,22,500,1000,-24500,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,multi-vehicle collision
sb3001318,0,0,47734,49,110.0,0,unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,500,903.32,0,0.2,3,1,0,31700,6340,3170,22190,56000,64.0,14,250,500,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001319,1,0,59584,34,85.0,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,1454.42,0,0.2,1,0,1,74280,12380,12380,49520,56000,64.0,14,500,1000,-22300,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,single vehicle collision
sb3001320,1,1,54019,38,107.0,0,unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,1603.42,0,0.2,1,0,2,80520,13420,6710,60390,60000,63.0,15,100,300,31400,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,single vehicle collision
sb3001321,0,0,32813,42,74.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,1616.58,0,0.2,3,0,2,63600,6360,12720,44520,40000,63.0,10,250,500,11700,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001322,0,1,40865,34,81.0,0,unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500,1611.83,0,0.2,1,1,2,32800,3280,3280,26240,32000,64.0,8,250,500,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,single vehicle collision
sb3001323,1,1,44035,34,21.0,1,unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500,889.13,0,0.2,3,0,2,44190,9820,4910,29460,20000,63.0,5,500,1000,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001324,1,1,48190,30,90.0,0,t2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,1252.08,0,0.2,2,2,2,50400,10080,5040,35280,80000,63.0,20,250,500,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,multi-vehicle collision
sb3001325,1,0,43112,33,84.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,995.56,0,0.2,3,1,1,88400,17680,8840,61880,40000,63.0,10,500,1000,-65400,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,multi-vehicle collision
sb3001326,1,0,55590,48,89.0,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,1347.92,0,0.2,3,0,2,66550,12100,6050,48400,68000,63.0,17,100,300,-42100,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001327,0,1,69813,45,49.0,0,t1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000,1724.09,0,0.2,3,0,0,65780,5980,11960,47840,24000,64.0,6,100,300,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,multi-vehicle collision
sb3001328,0,0,79031,42,47.0,0,t0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500,1379.93,0,0.2,3,0,2,51810,9420,4710,37680,72000,63.0,18,250,500,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,multi-vehicle collision
sb3001329,1,0,40241,39,82.0,0,unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,1554.64,4000000,0.2,1,1,0,55660,5060,10120,40480,44000,63.0,11,250,500,-27900,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,single vehicle collision
sb3001330,1,0,50784,30,121.0,0,t0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,1377.94,0,0.2,1,2,2,44640,9920,4960,29760,60000,63.0,15,500,1000,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,single vehicle collision
sb3001331,0,0,71849,39,22.0,1,t0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,1313.33,0,0.2,3,1,2,77660,7060,14120,56480,64000,64.0,16,500,1000,-20100,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,multi-vehicle collision
sb3001332,1,0,42375,38,87.0,0,t0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500,1259.02,0,0.2,1,2,2,5640,940,940,3760,60000,63.0,15,250,500,13400,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,parked car
sb3001333,1,0,48913,47,86.0,0,unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1371.88,0,0.2,1,2,2,3190,580,580,2030,100000,63.0,25,500,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,parked car
sb3001334,1,0,67934,39,82.0,0,t1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,500,1399.27,6000000,0.2,1,0,0,53440,0,6680,46760,64000,63.0,16,100,300,-9800,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,single vehicle collision
sb3001335,0,1,30090,45,95.0,0,t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,1061.98,6000000,0.2,1,0,1,65250,7250,7250,50750,72000,63.0,18,500,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,single vehicle collision
sb3001336,0,1,31434,45,93.0,0,t0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,1365.46,4000000,0.2,3,2,1,44280,4920,4920,34440,48000,63.0,12,250,500,-56600,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,multi-vehicle collision
sb3001337,0,1,51770,33,77.0,0,t1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,894.4,0,0.2,1,2,0,70290,7810,7810,54670,84000,64.0,21,500,1000,-53700,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,single vehicle collision
sb3001338,1,1,83541,45,66.0,0,t0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,956.69,0,0.2,1,1,1,87100,8710,8710,69680,80000,63.0,20,250,500,-24700,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,single vehicle collision
sb3001339,0,0,66372,47,41.0,0,t0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2000,1123.89,0,0.2,3,1,2,50380,4580,4580,41220,96000,64.0,24,500,1000,-13800,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,multi-vehicle collision
sb3001340,0,1,73037,38,96.0,0,t1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,500,1085.03,0,0.2,3,2,2,64800,12960,6480,45360,24000,62.0,6,100,300,-61000,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,multi-vehicle collision
